alumni_career_titles,alumni_info,awards,contact_email,department,dept_news_links,lab_culture,lab_website,last_updated,linkedin_profiles,mentorship_info,num_alumni,num_students,pi_name,publication_abstracts,publication_dates,publication_links,publications,research_summary,scraped_excerpts,social_media_posts,source_url,title_position
Water Quality Scientist; Environmental Engineer I,"R. Nguyen (MS 2024, Water Quality Scientist at NC DEQ); A. Johnson (BS 2023, Engineer I at Jacobs)",AEESP Outstanding Dissertation Award (2022),pdesai@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/desai-microbiology-grant,experimental; safety-first; inclusive lab meetings,http://desai-envmicro.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/rnguyen-wq/; https://www.linkedin.com/in/ajohnson-jacobs/,Hands-on laboratory training with weekly troubleshooting huddles.,5,6,Dr. Priya Desai,A microfluidics study on chlorine/chloramine impacts on community structure.; Full-scale trials evaluating virus log-removals across ozone–BAC units.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.desai.2025a; https://doi.org/10.1234/ncsu.ccee.desai.2023b,Biofilm adaptation under residual disinfectants; Pathogen removal in ozone-BAC trains,"Environmental microbiology, biofilms in water distribution, and pathogen fate in advanced treatment.",[Research Tab] Environmental microbiology of drinking water systems (Source: http://desai-envmicro.ccee.ncsu.edu/research); [News] New grant on biofilms (Source: https://ccee.ncsu.edu/news/desai-microbiology-grant),https://twitter.com/EnvMicroDesai/status/1556678890,https://www.ccee.ncsu.edu/faculty/desai,Assistant Professor
Geotechnical Engineer; Staff Engineer,"Y. Chen (PhD 2021, Geotechnical Engineer at Fugro); D. Brooks (MS 2020, HDR)",Prakash Prize in Geotechnical Earthquake Engineering (2020),apatel@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/patel-centrifuge-upgrade,field + centrifuge; code-verified; mentoring through design reviews,http://patel-geoquake.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/ychen-geotech/; https://www.linkedin.com/in/dbrooks-hdr/,Biweekly design charrettes; emphasis on field-to-model integration.,18,8,Dr. Aaron Patel,A region-specific liquefaction evaluation using CPT-based models.; Experiments quantifying stiffness degradation in laterally loaded pile groups.,2024; 2022,https://doi.org/10.1234/ncsu.ccee.patel.2024a; https://doi.org/10.1234/ncsu.ccee.patel.2022b,Probabilistic liquefaction maps for piedmont soils; Centrifuge modeling of pile groups under cyclic loading,"Geotechnical earthquake engineering, liquefaction triggering, and centrifuge modeling of soil-structure interaction.",[Research Tab] Liquefaction and soil-structure interaction (Source: http://patel-geoquake.ccee.ncsu.edu/research); [Facilities] Centrifuge photos and specs (Source: http://patel-geoquake.ccee.ncsu.edu/facilities),https://twitter.com/GeoQuakeNCSU/status/1776543210,https://www.ccee.ncsu.edu/faculty/patel,Professor
VDC Engineer; Field Engineer,"K. Rivera (MS 2022, VDC Engineer at DPR); H. Singh (BS 2023, Field Engineer at Skanska)",ENR Southeast Top 20 Under 40 (2023),skim@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/kim-bim-iot-award,industry-collaborative; site visits; agile methods,http://kim-construction.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/krivera-vdc/; https://www.linkedin.com/in/hsingh-field/,Weekly scrum standups; students co-lead industry-sponsored capstones.,11,6,Dr. Sophia Kim,A digital twin for schedule deviation detection using BLE beacons.; Mixed-methods study on foreman decision loads and output.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.kim.2025a; https://doi.org/10.1234/ncsu.ccee.kim.2023b,BIM+IoT schedule conformance; Human factors in construction productivity,"Construction management, BIM-enabled scheduling, and productivity analytics on active job sites.",[Research Tab] BIM-enabled scheduling and productivity (Source: http://kim-construction.ccee.ncsu.edu/research); [News] Industry capstone highlights (Source: https://ccee.ncsu.edu/news/kim-bim-iot-award),https://twitter.com/KimBIMLab/status/1654321098,https://www.ccee.ncsu.edu/faculty/kim,Associate Professor
Atmospheric Scientist; Air Quality Consultant,"D. Tran (PhD 2020, Atmospheric Scientist at EPA); C. Williams (MS 2021, Air Quality Consultant at Ramboll)",AAAR Outstanding Publication Award (2021),emorales@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/morales-wildfire-smoke-research,modeling-heavy; interdisciplinary; open datasets,http://morales-airquality.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/dtran-atmos/; https://www.linkedin.com/in/cwilliams-aq/,Reproducible modeling pipelines; joint paper writing sprints each semester.,19,7,Dr. Ethan Morales,A data assimilation framework using satellite AOD for PM estimation.; Analysis of meteorology-driven ozone spikes using WRF-Chem.,2025; 2022,https://doi.org/10.1234/ncsu.ccee.morales.2025a; https://doi.org/10.1234/ncsu.ccee.morales.2022b,Wildfire smoke PM2.5 assimilation with TROPOMI; Episodic ozone exceedances in the Southeast,"Regional air quality modeling, wildfire smoke transport, and satellite data assimilation for PM2.5.",[Research Tab] Satellite assimilation for PM2.5 (Source: http://morales-airquality.ccee.ncsu.edu/research); [Publications] Smoke and ozone papers (Source: http://morales-airquality.ccee.ncsu.edu/publications),https://twitter.com/AQMoralesLab/status/1456789321,https://www.ccee.ncsu.edu/faculty/morales,Professor
Hydrologist; Assistant Professor,"S. Park (MS 2022, Hydrologist at USACE); M. Allen (PhD 2021, Assistant Professor at UNC)",NSF CAREER (2022),jli@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/li-compound-flooding-maps,community-engaged; open GIS; field + modeling,http://li-hydro.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/spark-hydro/; https://www.linkedin.com/in/mallen-acad/,Group code reviews; flood response field deployments with local EM partners.,10,8,Dr. Jing Li,An integrated pluvial–fluvial modeling approach for neighborhood-level maps.; Multi-criteria analysis linking hazard and vulnerability indices.,2024; 2023,https://doi.org/10.1234/ncsu.ccee.li.2024a; https://doi.org/10.1234/ncsu.ccee.li.2023b,Compound flood mapping for small watersheds; Social vulnerability in flood risk prioritization,"Hydrology, compound flooding, and community-scale flood hazard mapping under climate change.",[Research Tab] Compound flooding and flood mapping (Source: http://li-hydro.ccee.ncsu.edu/research); [People Tab] Joint EM exercises (Source: http://li-hydro.ccee.ncsu.edu/people),https://twitter.com/LiHydroLab/status/1645678123,https://www.ccee.ncsu.edu/faculty/li,Associate Professor
Pavement Engineer; Research Engineer,"B. Lee (MS 2020, Pavement Engineer at Kimley-Horn); C. Patel (PhD 2019, DOT Research)",ASCE James Laurie Prize (2024),rowens@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/owens-high-rap-results,lab + field; industry-advisory board; safety-first,http://owens-pavements.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/blee-pavements/; https://www.linkedin.com/in/cpatel-dot/,Biweekly design studios; encourages PE licensure for graduate students.,21,5,Dr. Rebecca Owens,Long-term field sections evaluating high-RAP mixes.; Laboratory and field validation of WMA adhesion enhancers.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.owens.2025a; https://doi.org/10.1234/ncsu.ccee.owens.2023b,Reclaimed asphalt in high-traffic pavements; Moisture susceptibility in warm-mix asphalt,"Pavement engineering, mechanistic-empirical design, and recycled materials performance.",[Research Tab] High-RAP and WMA performance (Source: http://owens-pavements.ccee.ncsu.edu/research); [Facilities] Hamburg and AMPT details (Source: http://owens-pavements.ccee.ncsu.edu/facilities),https://twitter.com/OwensPaveLab/status/1534432122,https://www.ccee.ncsu.edu/faculty/owens,Professor
Resilience Modeler; Energy Consultant,"N. Garcia (PhD 2021, Resilience Modeler at NREL); P. Singh (MS 2022, Consultant at Guidehouse)",NSF CMMI Resilience Award (2023),ohassan@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/hassan-network-resilience,modeling-first; stakeholder-engaged; policy-relevant,http://hassan-resilience.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/ngarcia-resilience/; https://www.linkedin.com/in/psingh-guidehouse/,Team mentoring with rotating lead roles; scenario-based quals prep.,13,7,Dr. Omar Hassan,Optimization framework for coupled power–water restoration.; Metrics for equitable recovery sequencing across neighborhoods.,2024; 2022,https://doi.org/10.1234/ncsu.ccee.hassan.2024a; https://doi.org/10.1234/ncsu.ccee.hassan.2022b,Interdependent network restoration models; Equity in recovery prioritization,"Infrastructure resilience, interdependent networks, and rapid post-hazard recovery modeling.",[Research Tab] Interdependent infrastructure recovery (Source: http://hassan-resilience.ccee.ncsu.edu/research); [News] Equity in resilience grant (Source: https://ccee.ncsu.edu/news/hassan-network-resilience),https://twitter.com/ResilienceNCSU/status/1623459987,https://www.ccee.ncsu.edu/faculty/hassan,Associate Professor
Sustainability Analyst; Circular Economy Analyst,"E. Kim (MS 2024, Sustainability Analyst at WSP); T. Rivera (BS 2023, Analyst at Autodesk)",ASCE Sustainability Award (2024),hschultz@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/schultz-embodied-carbon,impact-driven; collaborative; open LCA models,http://schultz-sustain.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/ekim-lca/; https://www.linkedin.com/in/trivera-circular/,Monthly IDP check-ins; open lab management doctrine.,4,5,Dr. Hannah Schultz,Comparative LCA of UHPC vs conventional mixes across bridges.; A framework for circular supply chains in pavements.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.schultz.2025a; https://doi.org/10.1234/ncsu.ccee.schultz.2023b,LCA of ultra-high-performance concrete; Circularity metrics for roadway materials,"Life-cycle assessment, embodied carbon in infrastructure, and circular materials in construction.",[Research Tab] LCA and circularity (Source: http://schultz-sustain.ccee.ncsu.edu/research); [Publications] UHPC and roadway circularity (Source: http://schultz-sustain.ccee.ncsu.edu/publications),https://twitter.com/SchultzLCA/status/1754320981,https://www.ccee.ncsu.edu/faculty/schultz,Assistant Professor
IoT Engineer; Data Engineer,"V. Shah (MS 2024, IoT Engineer at Siemens); L. Park (BS 2023, Data Engineer at SAS)",IEEE Smart Cities Early Career (2023),mrossi@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/rossi-smart-sensing-pilot,hardware + ML; open-source; deployment-focused,http://rossi-smartinfra.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/vshah-iot/; https://www.linkedin.com/in/lpark-data/,Pair-programming sessions; student-led demos at city data meetups.,3,6,Dr. Matteo Rossi,A low-power edge pipeline for modal ID on short spans.; Self-supervised models to flag sensor drift and incidents.,2025; 2024,https://doi.org/10.1234/ncsu.ccee.rossi.2025a; https://doi.org/10.1234/ncsu.ccee.rossi.2024b,Edge sensing for bridge vibration; Traffic anomaly detection with self-supervision,"Smart cities, edge sensing for infrastructure, and anomaly detection in structural/traffic data.",[Research Tab] Edge sensing and anomaly detection (Source: http://rossi-smartinfra.ccee.ncsu.edu/research); [People Tab] Deployment photos (Source: http://rossi-smartinfra.ccee.ncsu.edu/people),https://twitter.com/RossiSmartInfra/status/1634509876,https://www.ccee.ncsu.edu/faculty/rossi,Assistant Professor
Process Engineer; EHS Specialist,"P. Chen (PhD 2021, Process Engineer at Xylem); R. Alvarez (MS 2020, EHS at Veolia)",AEESP Best Paper (2023),aibrahim@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/ibrahim-pfas-destruction,experimental; safety-first; team science,http://ibrahim-wastewater.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/pchen-process/; https://www.linkedin.com/in/ralvarez-ehs/,Hands-on bench mentoring; open lab notebooks; safety walk-throughs every Friday.,12,9,Dr. Aisha Ibrahim,Bench-scale kinetics of PFAS defluorination with BDD anodes.; Pilot-scale evaluation of high-solids co-digestion yields.,2024; 2023,https://doi.org/10.1234/ncsu.ccee.ibrahim.2024a; https://doi.org/10.1234/ncsu.ccee.ibrahim.2023b,Electrochemical PFAS destruction kinetics; Co-digestion strategies for municipal plants,"Wastewater process engineering, PFAS destruction, and anaerobic co-digestion for energy recovery.",[Research Tab] PFAS destruction and co-digestion (Source: http://ibrahim-wastewater.ccee.ncsu.edu/research); [Publications] Kinetics and pilot studies (Source: http://ibrahim-wastewater.ccee.ncsu.edu/publications),https://twitter.com/IbrahimWasteLab/status/1543321098,https://www.ccee.ncsu.edu/faculty/ibrahim,Associate Professor
Bridge Engineer; Assistant Professor,"J. Morales (MS 2020, Bridge Engineer at HNTB); K. Lee (PhD 2019, Professor at UTK)",AISC Lifetime Achievement Award (2022),dcooper@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/cooper-abc-seismic,lab-intensive; industry codes; safety-first,http://cooper-bridges.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/jmorales-bridge/; https://www.linkedin.com/in/kleesteel/,Studio-style group critiques; PE exam prep sessions each spring.,28,5,Dr. Daniel Cooper,Experimental study on composite connectors in lightweight decks.; Cyclic testing of ABC joints for rapid recovery.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.cooper.2025a; https://doi.org/10.1234/ncsu.ccee.cooper.2023b,Composite action in lightweight decks; ABC connection performance under seismic loads,"Bridge engineering, steel–concrete composites, and accelerated bridge construction methods.",[Research Tab] Steel–concrete composites and ABC (Source: http://cooper-bridges.ccee.ncsu.edu/research); [Facilities] Large-scale cyclic frame (Source: http://cooper-bridges.ccee.ncsu.edu/facilities),https://twitter.com/CooperBridgeLab/status/1667789345,https://www.ccee.ncsu.edu/faculty/cooper,Professor
Postdoctoral Fellow; Numerical Analyst,"A. Rossi (PhD 2022, Postdoc at ETH); C. Brown (MS 2021, Numerical Analyst at Bentley)",ASCE EMI Young Investigator (2021),epetrova@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/petrova-iga-fracture,computation-heavy; theory + validation; open benchmarks,http://petrova-compmech.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/arossi-comp/; https://www.linkedin.com/in/cbrown-numerical/,Biweekly code clinics; encourages preprints and replicable benchmarks.,9,7,Dr. Elena Petrova,A higher-order IGA approach for crack propagation in quasi-brittle media.; Coupled chemo-mechanical models of early-age hydration.,2024; 2022,https://doi.org/10.1234/ncsu.ccee.petrova.2024a; https://doi.org/10.1234/ncsu.ccee.petrova.2022b,Isogeometric models for fracture; Multiscale hydration modeling,"Computational mechanics, isogeometric analysis, and multi-scale modeling of cementitious materials.",[Research Tab] IGA and multiscale cement models (Source: http://petrova-compmech.ccee.ncsu.edu/research); [Publications] Fracture and hydration (Source: http://petrova-compmech.ccee.ncsu.edu/publications),https://twitter.com/PetrovaCompMech/status/1523456678,https://www.ccee.ncsu.edu/faculty/petrova,Associate Professor
Traffic Engineer; Data Analyst,"G. Patel (MS 2024, Traffic Engineer at Kittelson); I. Lopez (BS 2023, Data Analyst at DOT)",ITE Rising Star (2024),swright@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/wright-rl-signals,simulation-heavy; open-source; agency-collab,http://wright-traffic.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/gpatel-traffic/; https://www.linkedin.com/in/ilopez-dot/,Weekly code-review hours; students maintain shared data dictionaries.,4,6,Dr. Samuel Wright,A multi-agent RL approach reducing delay by 22% in microsim.; Real-time phase adaptation using CAV probe data.,2025; 2024,https://doi.org/10.1234/ncsu.ccee.wright.2025a; https://doi.org/10.1234/ncsu.ccee.wright.2024b,Reinforcement learning for corridor timing; CAV trajectories for adaptive phases,"Traffic operations, adaptive signal control, and CAV-enabled corridor optimization.",[Research Tab] RL for signal control (Source: http://wright-traffic.ccee.ncsu.edu/research); [People Tab] Student simulation teams (Source: http://wright-traffic.ccee.ncsu.edu/people),https://twitter.com/WrightTrafficLab/status/1745671209,https://www.ccee.ncsu.edu/faculty/wright,Assistant Professor
Stormwater Engineer; Sustainability Fellow,"T. Brooks (MS 2024, Stormwater Engineer at Stantec); R. Diaz (BS 2023, Sustainability Fellow)",ASCE EWRI Early Career (2023),nalmansour@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/almansour-gsi-equity,community-first; applied modeling; field validations,http://almansour-gsi.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/tbrooks-stormwater/; https://www.linkedin.com/in/rdiaz-sustain/,Community-engaged research; monthly reflection memos; paired mentoring.,3,5,Dr. Noor Al‑Mansour,Simulation of microclimate cooling from distributed GSI.; A decision framework integrating social vulnerability in siting.,2025; 2024,https://doi.org/10.1234/ncsu.ccee.almansour.2025a; https://doi.org/10.1234/ncsu.ccee.almansour.2024b,Distributed GSI for heat/flood co-benefits; Equity metrics for GSI siting,"Green stormwater infrastructure, equity in flood mitigation, and nature-based solutions.",[Research Tab] Green stormwater infrastructure and equity (Source: http://almansour-gsi.ccee.ncsu.edu/research); [News] Community partnership feature (Source: https://ccee.ncsu.edu/news/almansour-gsi-equity),https://twitter.com/AlmansourGSI/status/1698765433,https://www.ccee.ncsu.edu/faculty/almansour,Assistant Professor
Coastal Scientist; Research Scientist,"M. Ortega (MS 2021, Coastal Scientist at Atkins); M. Zhou (PhD 2020, NOAA)",ASBPA Best Paper (2022),gsilva@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/silva-lidar-shoreline,coastal fieldwork; remote sensing; open datasets,http://silva-coastal.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/mortega-coastal/; https://www.linkedin.com/in/mzhou-noaa/,Field-first; students lead instrument deployment and QA/QC.,10,8,Dr. Gabriel Silva,A 15-year lidar analysis of shoreline retreat patterns.; Wind-tunnel tests of plant stiffness on dune erosion.,2024; 2023,https://doi.org/10.1234/ncsu.ccee.silva.2024a; https://doi.org/10.1234/ncsu.ccee.silva.2023b,Lidar shoreline change along the Outer Banks; Vegetation effects on dune stability,"Coastal hazards, dune–vegetation feedbacks, and lidar-based shoreline change analysis.",[Research Tab] Lidar shoreline change and dune vegetation (Source: http://silva-coastal.ccee.ncsu.edu/research); [People Tab] Fieldwork photos (Source: http://silva-coastal.ccee.ncsu.edu/people),https://twitter.com/SilvaCoastalLab/status/1685554322,https://www.ccee.ncsu.edu/faculty/silva,Associate Professor
Process Engineer; Water Treatment Engineer,"K. Ahmed (PhD 2020, Process Engineer at Black & Veatch); J. Wu (MS 2019, Water Treatment Engineer at HDR)",AEESP Frontiers in Environmental Engineering Award (2021),ytanaka@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/tanaka-catalytic-ozone,bench-scale + pilot; safety culture; industry liaisons,http://tanaka-envcat.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/kahmed-process/; https://www.linkedin.com/in/jwu-water/,Students co-author review papers; quarterly alumni panels.,17,7,Dr. Yuki Tanaka,Pilot-scale catalytic ozone for fast micropollutant removal.; Evaluation of UV/H2O2 for precursor transformation pathways.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.tanaka.2025a; https://doi.org/10.1234/ncsu.ccee.tanaka.2023b,Catalytic ozone for micropollutants; UV/H2O2 for PFAS precursors,"Environmental catalysis, ozone/UV AOPs, and catalytic filtration for drinking water safeguards.",[Research Tab] Environmental catalysis and AOPs (Source: http://tanaka-envcat.ccee.ncsu.edu/research); [Publications] Ozone and UV/H2O2 (Source: http://tanaka-envcat.ccee.ncsu.edu/publications),https://twitter.com/TanakaEnvCat/status/1712345902,https://www.ccee.ncsu.edu/faculty/tanaka,Professor
Materials Engineer; QC Engineer,"A. Thomas (MS 2024, Materials Engineer at Holcim); J. Chen (BS 2023, QC Engineer at Lafarge)",ASCE New Faculty Award (2024),prao@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/rao-low-carbon-concrete,materials + durability; green lab practices; shared protocols,http://rao-susmat.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/athomas-materials/; https://www.linkedin.com/in/jchen-qc/,Weekly writing hour; open peer feedback on drafts.,2,4,Dr. Priyanka Rao,Kinetics and durability of carbonate phases in AAMs.; Performance of ternary SCM blends under chloride exposure.,2025; 2024,https://doi.org/10.1234/ncsu.ccee.rao.2025a; https://doi.org/10.1234/ncsu.ccee.rao.2024b,CO2 mineralization in AAMs; SCM blends for low-carbon concretes,"Sustainable construction materials, alkali-activated binders, and carbon mineralization in concretes.",[Research Tab] AAMs and carbon mineralization (Source: http://rao-susmat.ccee.ncsu.edu/research); [Facilities] Durability lab tests (Source: http://rao-susmat.ccee.ncsu.edu/facilities),https://twitter.com/RaoSustainable/status/1765432109,https://www.ccee.ncsu.edu/faculty/rao,Assistant Professor
Assistant Professor; Transportation Planner,"S. Kim (PhD 2020, Assistant Professor at UMass); D. Reed (MS 2019, Transportation Planner at WSP)",ASCE Arthur M. Wellington Prize (2021),malvarez@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/alvarez-evacuation-models,optimization-first; policy-aware; data + models,http://alvarez-transys.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/skim-transit/; https://www.linkedin.com/in/dreed-planner/,Design charrettes with external reviewers; students present at TRB/ASCE annually.,23,9,Dr. Miguel Alvarez,A stochastic program for evacuation routes under forecast uncertainty.; Distributional impacts of congestion pricing with revenue recycling.,2024; 2022,https://doi.org/10.1234/ncsu.ccee.alvarez.2024a; https://doi.org/10.1234/ncsu.ccee.alvarez.2022b,Stochastic routing under hurricanes; Equity in congestion pricing,"Transportation systems, network optimization, and resilience-aware routing under disruptions.",[Research Tab] Resilience-aware routing and pricing (Source: http://alvarez-transys.ccee.ncsu.edu/research); [News] Evacuation modeling study (Source: https://ccee.ncsu.edu/news/alvarez-evacuation-models),https://twitter.com/AlvarezTranSys/status/1703456123,https://www.ccee.ncsu.edu/faculty/alvarez,Professor
Geotechnical Engineer; Research Engineer,"M. Green (MS 2022, Geotech Engineer at Geosyntec); M. Patel (PhD 2021, Research Engineer at FHWA)",ASCE GI Middlebrooks Award (2022),lhaddad@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/haddad-energy-piles,field + lab; safety protocols; shared datasets,http://haddad-geotech.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/mgreen-geotech/; https://www.linkedin.com/in/mpatel-fhwa/,Cohort-based mentoring; field instrumentation rotations for all students.,12,7,Dr. Layla Haddad,Centrifuge and field data on thermal cycles in energy piles.; Laboratory study of suction on shear strength parameters.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.haddad.2025a; https://doi.org/10.1234/ncsu.ccee.haddad.2023b,Thermo-mechanical behavior of energy piles; Suction effects in compacted clays,"Geotechnical engineering, unsaturated soils, and energy geotechnics for geothermal piles.",[Research Tab] Energy geotechnics and unsaturated soils (Source: http://haddad-geotech.ccee.ncsu.edu/research); [People Tab] Field crews (Source: http://haddad-geotech.ccee.ncsu.edu/people),https://twitter.com/HaddadGeoLab/status/1673345098,https://www.ccee.ncsu.edu/faculty/haddad,Associate Professor
Vibration Engineer; Research Assistant,"T. Nguyen (MS 2024, Vibration Engineer at Bosch); R. Allen (BS 2023, Research Assistant at NCSU)",ASCE EMI Best Paper (2024),zmartinez@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/martinez-metamaterials,experimental + modeling; open hardware; inclusive team,http://martinez-structdyn.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/tnguyen-vibes/; https://www.linkedin.com/in/rallen-ncsu/,Weekly paper clinics; transparent authorship policies.,3,5,Dr. Zoe Martinez,Experimental evaluation of 3D-printed metamaterial isolators.; Sparse Bayesian learning for modal updating under ambient loads.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.martinez.2025a; https://doi.org/10.1234/ncsu.ccee.martinez.2023b,Meta-layered isolators for buildings; Bayesian updating with sparse measurements,"Structural dynamics, meta-materials for vibration isolation, and Bayesian updating for system ID.",[Research Tab] Metamaterial isolators and Bayesian updating (Source: http://martinez-structdyn.ccee.ncsu.edu/research); [Facilities] Shake table setup (Source: http://martinez-structdyn.ccee.ncsu.edu/facilities),https://twitter.com/MartinezStruct/status/1712349987,https://www.ccee.ncsu.edu/faculty/martinez,Assistant Professor
Hydrologist; Water Resources Engineer,"L. Wang (PhD 2019, Hydrologist at USGS); C. Perez (MS 2020, Water Resources Engineer at HDR)",ASCE EWRI Hydrology Award (2020),rduarte@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/duarte-drought-forecasting,stakeholder-engaged; modeling + field data; open tools,http://duarte-hydro.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/lwang-usgs/; https://www.linkedin.com/in/cperez-wre/,Field–model integration; students co-author agency reports.,20,6,Dr. Rafael Duarte,Hybrid statistical–physical models for seasonal indicators.; Hydro-economic optimization for multi-user basins.,2024; 2022,https://doi.org/10.1234/ncsu.ccee.duarte.2024a; https://doi.org/10.1234/ncsu.ccee.duarte.2022b,Seasonal drought forecasting with hybrid models; Water allocation under competing demands,"Watershed hydrology, drought forecasting, and hydro-economic analysis of water allocation.",[Research Tab] Drought forecasting and allocation (Source: http://duarte-hydro.ccee.ncsu.edu/research); [Publications] Hybrid models and optimization (Source: http://duarte-hydro.ccee.ncsu.edu/publications),https://twitter.com/DuarteHydroLab/status/1612345678,https://www.ccee.ncsu.edu/faculty/duarte,Professor
Safety Engineer; Data Engineer,"P. Long (MS 2023, Safety Engineer at Turner); D. Cho (BS 2023, Data Engineer at Procore)",ASCE Construction Research Award (2023),nkarim@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/karim-wearable-safety,industry-partnered; field pilots; human-centered,http://karim-construction.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/plong-safety/; https://www.linkedin.com/in/dcho-procore/,Paired mentoring with industry mentors; Kanban project boards for all students.,7,6,Dr. Nadia Karim,A sensor fusion pipeline for near-miss detection.; Time–motion analysis of offsite modular fabrication.,2025; 2024,https://doi.org/10.1234/ncsu.ccee.karim.2025a; https://doi.org/10.1234/ncsu.ccee.karim.2024b,Wearable sensing for safety leading indicators; Productivity in modular assembly lines,"Construction analytics, safety monitoring with wearables, and productivity in modular construction.",[Research Tab] Wearables and modular productivity (Source: http://karim-construction.ccee.ncsu.edu/research); [People Tab] Industry mentors listed (Source: http://karim-construction.ccee.ncsu.edu/people),https://twitter.com/KarimConstrLab/status/1789901234,https://www.ccee.ncsu.edu/faculty/karim,Associate Professor
Geotechnical Engineer; Staff Engineer,"C. Li (MS 2024, Geotech Engineer at BGC); S. Reed (BS 2023, Staff Engineer at Geocomp)",ASCE GI Young Member Award (2024),vsantos@ncsu.edu,CCEE,https://ccee.ncsu.edu/news/santos-landslide-warning,modeling + testing; rigorous QA/QC; open notebooks,http://santos-geomech.ccee.ncsu.edu,2025-09-04,https://www.linkedin.com/in/cli-geotech/; https://www.linkedin.com/in/sreed-geocomp/,Weekly design–test cycles; students lead experiment planning.,2,5,Dr. Victor Santos,An adjoint-based FE inversion to infer shear strength.; Statistical thresholds for displacement rates in slopes.,2025; 2023,https://doi.org/10.1234/ncsu.ccee.santos.2025a; https://doi.org/10.1234/ncsu.ccee.santos.2023b,Inverse FE for slope stability; Early warning thresholds from inclinometer data,"Geotechnical modeling, finite element inverse analysis, and landslide early warning.",[Research Tab] Inverse FE and early warning (Source: http://santos-geomech.ccee.ncsu.edu/research); [Publications] Slope stability and thresholds (Source: http://santos-geomech.ccee.ncsu.edu/publications),https://twitter.com/SantosGeoLab/status/1791123456,https://www.ccee.ncsu.edu/faculty/santos,Assistant Professor
